104.21.91.120:443#微测优选 | 移动 | HKG | 104.21.91.120
104.25.251.76:443#微测优选 | 移动 | HKG | 104.25.251.76
104.25.253.249:443#微测优选 | 移动 | HKG | 104.25.253.249
104.25.248.213:443#微测优选 | 移动 | HKG | 104.25.248.213
108.162.194.183:443#微测优选 | 移动 | LAX | 108.162.194.183
104.17.156.120:443#微测优选 | 联通 | SJC | 104.17.156.120
104.25.251.76:443#微测优选 | 联通 | LAX | 104.25.251.76
104.25.231.8:443#微测优选 | 联通 | LAX | 104.25.231.8
162.159.5.109:443#微测优选 | 联通 | LAX | 162.159.5.109
162.159.5.18:443#微测优选 | 联通 | LAX | 162.159.5.18
162.159.14.17:443#微测优选 | 电信 | SIN | 162.159.14.17
162.159.11.5:443#微测优选 | 电信 | SIN | 162.159.11.5
162.159.12.217:443#微测优选 | 电信 | SIN | 162.159.12.217
162.159.33.161:443#微测优选 | 电信 | SIN | 162.159.33.161
162.159.10.169:443#微测优选 | 电信 | SIN | 162.159.10.169
